,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
776,21-Sep-17,0.826612903,283.26,258.58,264.31,"601,266,000","26,836,000,000",5.73,Increase
777,22-Sep-17,0.396551724,258.11,264.31,286.17,"430,081,000","24,458,400,000",21.86,Increase
778,23-Sep-17,0.096774194,264.6,286.17,282.48,"450,934,000","25,077,100,000",-3.69,Decrease
779,24-Sep-17,0.322463768,286.21,282.48,292.33,"571,411,000","27,129,900,000",9.85,Increase
780,25-Sep-17,0.212244898,282.22,292.33,287.44,"483,161,000","26,755,500,000",-4.89,Decrease
781,26-Sep-17,0.878151261,292.35,287.44,306.47,"345,801,000","27,720,000,000",19.03,Increase
782,27-Sep-17,0.262295082,287.02,306.47,299.15,"550,244,000","27,219,400,000",-7.32,Decrease
783,28-Sep-17,0.475655431,306.47,299.15,291.47,"501,894,000","29,068,700,000",-7.68,Decrease
784,29-Sep-17,0.402542373,299.12,291.47,301.46,"541,375,000","28,375,900,000",9.99,Increase
785,30-Sep-17,0.371859296,291.48,301.46,302.34,"332,439,000","27,655,200,000",0.88,Increase
786,1-Oct-17,0.279816514,301.55,302.34,297.48,"306,185,000","28,615,200,000",-4.86,Decrease
787,2-Oct-17,0.024390244,302.48,297.48,292.46,"339,443,000","28,708,500,000",-5.02,Decrease
